411.141,208.41,10,2517.960251
651,208.953,46.241,1157.045739
891,29.578,41.753,1240.865508
1117.988,30.294,10,2550.273793
6903.925,276.659,10,2535.050862
7143,319.752,18.144,2021.148548
7378.872,1.777,10,2553.729069
26470.094,359.864,10,2562.841514
26710,42.434,17.002,2097.996769
26923.214,79.632,10,2556.563355
32722.941,331.205,10,2562.392204
32962,337.079,44.402,1205.235196
33202,142.759,43.749,1212.473331
33436.358,148.26,10,2544.670049
39179.519,287.853,10,2557.8336
39419,245.872,14.019,2268.535819
39546.903,224.753,10,2546.425812
80506.569,127.172,10,2522.47557
80746,85.813,11.364,2433.229243
80793.163,78.334,10,2536.642319
